subject_id,group,driving_experience_y,condition,brake_reaction_time_s,hr_mean_bpm,hr_sd_bpm,ibi_mean_ms,sdnn_ms,rmssd_ms,pnn50_pct,lf_power,hf_power,lf_hf_ratio,poincare_sd1_ms,poincare_sd2_ms,blink_count,blink_rate_per_min,blink_duration_mean_ms,fixation_count,fixation_duration_mean_ms,fixation_total_duration_s,fixation_time_ratio_pct,fixation_sample_count,saccade_count,saccade_duration_mean_ms,gap_count,pupil_diameter_mean_mm,pupil_diameter_sd_mm,gaze_velocity_mean_deg_s,gaze_velocity_max_deg_s,gaze_velocity_sd_deg_s,gaze_x_mean_pct,gaze_x_sd_pct,gaze_y_mean_pct,gaze_y_sd_pct
P01,YE,8,0-back,1.556,69.96,9.75,857.805,58.2661,30.49785,11.1137,0.01065,0.0024,4.3776,21.61675,79.66945,6,2.005,114.5,24.5,233.09,5.7415,65.995,9214,57.5,32.87,996,4.6595,0.37835,51.7556,1273.8465,138.5498,49.56,19.2,51.9,16.75
P01,YE,8,1-back,1.682,69.805,11.52,859.875,52.6011,33.67665,5.28095,0.0164,0.0073,2.14285,23.8683,70.41275,5,1.49,153.2,25,301.4,7.535,70.51,510,77,22.43,329,4.7396,0.221,46.9133,891.0854,140.8608,24.96,32.62,21.34,29.56
P01,YE,8,2-back,2.875,68.46,8.3,876.425,38.50965,27.21665,7.67815,0.00765,0.0036,2.4422,19.29095,50.7669,8,2.38,120.75,47,302.51,14.218,72.17,8685,129,25.22,1498,4.6082,0.1661,57.2234,1288.8094,166.2844,46.98,24.42,48.76,21.62
P01,YE,8,baseline,1.3125,72.74,27.84,825.015,48.24805,24.954,4.71675,0.00755,0.0021,3.74735,17.6848,65.9997,17,5.07,151.94,38,353.85,12.681,76.64,20743,79,36.61,249.5,4.4297,0.4077,38.2994,904.47135,107.31815,41.03,17.88,55.85,23.34
P02,YE,8,0-back,1.556,60.56,9.75,990.82,261.5222,252.9654,41.6667,0.0088,0.0054,1.6179,179.3461,319.9051,21,7.03,173.86,278,250.82,69.729,77.24,4484,461,28.1,1109,4.0117,0.3101,22.9448,808.7808,55.5773,43.7,14.38,55.9,19.18
P02,YE,8,1-back,1.682,48.41,11.52,1239.41,958.2979,957.7678,66.9014,0.0099,0.0058,1.727,679.616,1173.2772,17,5.69,199.18,339,333.45,113.04,85.99,8432,510,26.15,1207,4.516,0.3694,15.5446,1014.1084,37.9958,46.72,20.02,51.66,22.49
P02,YE,8,2-back,1.938,74.36,8.3,806.9,83.639,60.7183,19.1781,0.0332,0.0058,5.6758,43.0148,108.8976,33,11.05,155.48,282,426.11,120.162,88.37,1696,488,23.04,634,4.3397,0.4791,14.2845,1212.166,46.3477,35.31,18.75,51.85,27.72
P02,YE,8,baseline,1.785,61.3,27.84,978.75,297.2282,396.1027,59.3407,0.0411,0.084,0.4894,280.8619,313.2019,20,6.7,164.1,227,273.39,62.06,82.19,640,331,27.94,119,3.6855,0.4277,20.4234,893.8173,56.8416,45.85,8.47,65.1,13.4
P03,EE,10,0-back,1.556,64.91,12.75,924.42,345.1246,297.1806,19.0722,0.0004,0.0002,1.7248,210.681,441.2625,86,28.5,143.66,312,374.61,116.879,82.11,9250,567,32.78,773,3.8389,0.2402,31.0567,2520.0652,114.5213,47,14.32,48.28,16.05
P03,EE,10,1-back,2.875,65.38,9.1,917.76,281.4612,303.7535,25.641,0.0447,0.0145,3.0912,215.3365,333.9787,85,28.17,133.94,334,367.48,122.737,81.3,10902,599,34.1,867,4.3347,0.4808,31.8859,2097.1077,115.1365,47.63,13.91,49.15,14.16
P03,EE,10,2-back,2.875,62.5,18.64,959.97,76.1599,80.1598,22.9947,0.0163,0.0169,0.9639,56.8343,91.6466,43,14.25,130.21,231,460.38,106.348,85.1,20313,450,27.38,1919,4.6145,0.4338,29.7836,3499.2967,122.5906,31.57,25.17,33.16,26.62
P03,EE,10,baseline,2.145,68.06,24.34,881.6,68.8146,47.3748,12.2549,0.0133,0.0097,1.3796,33.5817,91.561,83,27.51,147.81,361,314.68,113.599,79.47,3465,612,36.88,454,3.7763,0.3022,37.0695,2912.2948,125.0855,45.43,17.09,46.38,17.9
P04,EE,10,0-back,0.572,79.73,12.75,752.51,53.465,38.5051,18.1287,0.008,0.0089,0.8991,27.2672,70.6317,11,2.55,139.36,10,187,1.87,66.67,1229,13,19.15,9,4.175,0.1113,10.2151,89.5717,20.3838,49.46,4.15,50.94,4.75
P04,EE,10,1-back,1.682,76.56,9.1,783.65,53.4455,41.4903,23.7805,0.0407,0.0234,1.7411,29.383,69.754,5,1.16,113.6,9,190.56,1.715,56.91,600,22,24.32,0,4.11,0.2213,27.4222,345.6284,55.9235,50.31,0.7,52.23,1.22
P04,EE,10,2-back,1.938,80.34,18.64,746.78,48.1263,33.7697,12.2093,0.015,0.0197,0.7576,23.9107,63.4266,2177,,,4,425,1.7,80.95,4153,10,21.8,2177,4.4689,0.2289,24.5377,728.8706,90.9265,28.8,27.57,28.58,26.91
P04,EE,10,baseline,2.145,77.68,24.34,772.4,50.7841,38.5853,20.4204,0.0193,0.0211,0.914,27.3246,66.2839,77,,,1288,,,,1395,30,,77,,,7.04,,,48.25,11.08,48.3,10.72
P05,EE,10,0-back,1.625,75.04,12.75,799.59,36.9983,21.2497,2.139,0.0223,0.0037,6.062,15.0654,50.1987,11,4.38,127.36,200,248.68,49.736,67.35,600,337,25.12,0,3.5605,0.2713,36.0462,1334.905,102.5941,49.43,0.45,50.7,0.49
P05,EE,10,1-back,1.682,81.84,9.1,733.14,47.7676,18.4868,0.4902,0.0042,0.0017,2.5214,13.0995,65.6803,39,15.52,177.79,249,267.47,66.599,57.98,1690,509,22.12,106,4.2882,0.5451,52.3382,1263.7927,135.6786,48.91,12.7,49.78,12.12
P05,EE,10,2-back,1.938,76.63,18.64,782.94,58.7529,22.2275,3.1414,0.0113,0.0033,3.385,15.7391,80.621,66,26.26,169.68,168,189.67,31.864,48.86,642,471,26.41,566,4.5756,0.326,57.2978,1125.9961,132.9231,6.79,17.28,7.26,18.53
P05,EE,10,baseline,2.145,76.7,24.34,782.25,60.1339,24.2352,3.1414,0.0214,0.0065,3.285,17.1707,82.7611,32,12.73,178.16,247,299.39,73.949,77.39,3707,392,30.83,397,3.9255,0.2852,29.2887,1048.9111,85.0908,49.83,15.87,45.52,15.74
P06,EN,2,0-back,1.563,77.09,9.68,778.315,38.26675,30.0819,8.9797,0.0327,0.01985,1.59215,21.3132,49.84415,33,9.205,133.67,104.5,221.17,25.664,50.71,125,425.5,23.625,1,3.3255,0.31615,37.58485,695.96665,77.1083,57.49,7.95,42.25,1.78
P06,EN,2,1-back,1.682,76.16,14.25,788.11,97.32325,93.7993,9.88515,0.03645,0.01475,2.7202,66.43965,120.2321,18,4.56,142.64,88.5,281.52,21.8695,64.465,9804,238.5,23.81,458,3.35725,0.2756,25.5369,501.6804,51.1741,48.32,11.74,51.98,11.32
P06,EN,2,2-back,1.938,78.01,21.16,769.135,60.6527,55.36295,9.72325,0.033,0.01435,2.3417,39.21455,75.9694,60,14.11,148.83,98,270.64,26.523,65.81,255,130,28.32,19,3.4252,0.3367,33.4899,1081.1383,78.7981,41.83,11.59,10.18,15.6
P06,EN,2,baseline,2.224,76.6,5.77,783.475,35.2042,28.7259,7.25015,0.0263,0.01565,1.6476,20.3518,45.18495,40.5,10.57,154.32,76,165.84,13.1645,51.72,42097,266,23.145,417,2.93085,0.26875,30.5294,604.52935,60.2222,44.6,18.21,58.09,23.21
P07,EN,2,0-back,1.556,79.6,9.68,753.76,47.5404,28.9737,9.0909,0.0348,0.0111,3.1296,20.5345,64.1809,2,0.72,166.5,7,107,0.749,67.74,4838,6,16.67,680,4.3076,0.3098,17.4561,213.2988,39.7108,44.83,13.89,54.16,18.27
P07,EN,2,1-back,,76,,789.49,52.0882,34.0094,11.9048,0.0357,0.0055,6.4845,24.1056,69.7616,1,0.36,266,2,83.5,0.167,55.56,,1,50,,4.129,0.1873,14.9562,47.1842,17.8273,,,,
P07,EN,2,2-back,1.938,78.59,21.16,763.45,53.8571,29.9491,5.53,0.0239,0.0111,2.1576,21.211,70.4814,4,1.44,162.25,11,224.27,2.467,71.84,5499,24,17.42,2382,4.9083,0.2117,18.0072,619.9943,57.5157,42.22,24.91,50.52,28.57
P07,EN,2,baseline,2.224,81.33,5.77,737.7,57.2303,32.2685,8.8889,0.0255,0.008,3.1916,22.8684,77.7935,3,1.08,200.33,8,302,2.416,85.06,648,7,28.71,79,4.2003,0.1458,12.0495,253.4772,29.0354,44,14.31,56.73,19.88
P08,EE,10,0-back,0.572,74.22,7.05,808.45,34.1019,18.8273,0.6494,0.0091,0.0035,2.5843,13.3347,46.4038,50,12,181.96,674,272.58,183.721,78.82,20463,1030,28.19,1676,4.4308,0.2646,27.4137,965.5909,74.2796,48.25,13.13,51.7,13
P08,EE,10,1-back,1.682,75.42,12.03,795.58,36.6204,16.8913,0.3205,0.0073,0.0018,4.0386,11.9629,50.3424,55,13.2,147.85,647,257.25,166.442,73.91,16504,990,31.64,2204,4.3132,0.3167,34.5339,1034.5439,80.9306,45.29,16.61,48.36,17.65
P08,EE,10,2-back,1.938,76.21,7.3,787.33,34.6859,18.1633,1.2658,0.0115,0.0032,3.5973,12.8599,47.071,57,13.68,171.05,640,265.3,169.795,71.99,16584,978,31.01,1919,4.2016,0.3448,37.1101,1362.3528,87.9938,46.12,14.66,49.45,16.13
P08,EE,10,baseline,2.145,73.17,25.86,819.97,49.5411,25.8914,4.2763,0.0037,0.0043,0.8607,18.3381,67.7082,28,6.72,177.39,595,292.05,173.768,80.59,82971,927,25.54,214,4.3492,0.3119,22.4819,975.8903,60.4113,47.9,14.1,51.85,15.73
P09,EE,15,0-back,0.572,97.34,7.05,616.41,25.6382,25.0522,1.1864,0.0047,0.0051,0.9175,17.7296,31.6512,20,3.29,165.75,110,3075.7,338.327,98.29,20463,149,28.98,1676,4.1531,0.2076,6.3278,1534.7248,39.0936,48.25,13.13,51.7,13
P09,EE,15,1-back,1.682,98.21,12.03,610.94,43.5627,34.9727,0.6723,0.0446,0.0149,2.9859,24.7503,56.4639,20,3.29,130.8,194,1779.55,345.233,96.1,16504,350,29.04,2204,4.1582,0.2614,8.1588,965.7158,36.616,45.29,16.61,48.36,17.65
P09,EE,15,2-back,1.938,93.72,7.3,640.23,255.8121,265.9533,7.2183,0.0394,0.0156,2.5194,188.2234,309.2958,23,3.78,134,261,1240.8,323.85,96.42,16584,335,27.56,1919,4.1368,0.2395,8.7751,2392.3547,54.7671,46.12,14.66,49.45,16.13
