subject_id,group,age_y,sex,driving_experience_y
P01,YE,36,M,8
P02,YE,35,F,8
P03,EE,60,F,10
P04,EE,60,M,10
P05,EE,60,M,10
P06,EN,65,M,2
P07,EN,65,M,2
P08,EN,65,F,2
P09,EN,65,F,2
P10,EE,60,F,10
P11,EE,63,M,15
P12,EE,61,M,12
P13,EE,62,F,14
P14,EN,65,F,1
P15,EN,65,M,2
P16,EN,65,M,1
P17,EN,65,F,2
P18,EN,65,M,2
P19,EN,65,F,2
P20,EN,65,M,2
P21,EE,65,M,25
P22,EE,65,F,23
P23,YE,26,F,16
P24,YE,28,M,15
P25,YE,29,F,14
P26,YE,34,M,8
P27,YE,31,F,11
P28,YE,32,M,10
P29,YE,33,F,9
P30,YE,22,M,22
P31,YN,30,M,2
P32,YN,30,F,2
P33,YN,29,M,2
P34,EE,65,M,22
P35,EE,65,F,20
P36,EE,65,M,18
P37,EE,64,F,17
P38,YE,23,F,20
P39,YE,25,M,18
P40,YN,29,F,2
P41,YN,28,M,2
P42,YN,27,F,2
P43,EN,65,F,1
P44,EN,65,M,1
P45,YN,25,F,2
P46,YN,23,F,1
P47,YN,24,M,1
P48,YN,26,M,2
P49,YE,30,M,12
P50,YN,20,M,1
P51,YN,21,F,1
P52,YN,22,M,1
